Accession,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F42,OCwt1,OCwt1.1,OCwt2,OCwt2.1,OCwt3,OCwt3.1,OCwt4,OCwt4.1,OCwt5,OCwt5.1,OCwt6,OCwt6.1,OCwt7,OCwt7.1,OCwt8,OCwt8.1,OCwt9,OCwt9.1,OCwt10,OCwt10.1,OCvar1,OCvar1.1,OCvar2,OCvar2.1,OCvar3,OCvar3.1,OCvar4,OCvar4.1,OCvar5,OCvar5.1,OCvar6,OCvar6.1,OCvar7,OCvar7.1,OCvar8,OCvar8.1,OCvar9,OCvar9.1,OCvar10,OCvar10.1,iBAQ G.P 1,iBAQ G.P 2,iBAQ G.P 3,iBAQ G.P 4,iBAQ G.P 5,iBAQ G.P 6,iBAQ G.P 7,iBAQ G.P 8,iBAQ G.P 9,iBAQ G.P 10,iBAQ P.P 1,iBAQ P.P 2,iBAQ P.P 3,iBAQ P.P 4,iBAQ P.P 5,iBAQ P.P 6,iBAQ P.P 7,iBAQ P.P 8,iBAQ P.P 9,iBAQ P.P 10,BENIGN_1,BENIGN_2,BENIGN_3,BENIGN_5,BENIGN_7,BENIGN_8,MALIGNANT_2,MALIGNANT_4,MALIGNANT_5,MALIGNANT_6,MALIGNANT_7,MALIGNANT_8,HGSOC_SA01,HGSOC_SA02,HGSOC_SA04,HGSOC_SA05,HGSOC_SA06,HGSOC_SA09,HGSOC_SA10,HGSOC_SA11,HGSOC_SA15,HGSOC_SA16,HGSOC_SC01,HGSOC_SC02,HGSOC_SC04,HGSOC_SC06,HGSOC_SC08,HGSOC_SC10,HGSOC_SC15,HGSOC_SC16,HGSOC_SC17,HGSOC_SC22,HGSOC_SC24,HGSOC_SC27,HGSOC_SC28,HGSOC_SC30,HGSOC_SC33,HGSOC_SC34
P04264,439711386,"354998228,4","244220716,1","413995690,8","402772312,1","283997577,8","637772769,1","202623250,2","254126901,8","235226771,4","397333137,1",3367583086,5010825754,1967878592,1917456093,1872488368,3138988974,2386124770,2061293329,3937133612,4487587984,1473761380,971218731,1715424865,1201259202,2029481648,1506547248,1676294296,1617812423,4600255685,3040994434,2672742148,4207974689,969982166,1848277394,1504245040,1542797406,1443666506,2182925510,1172149473,904283855,1593448665,1512742348,3596737974,3157166959,2533943555,2349828146,1675097724,1627000280,944170376,786599080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,72331659","21,29451502","23,24442365","22,35378947","23,13417049","20,89758524","24,12226718","22,31489616","22,79843516","24,53585327","21,56907251","21,67388377","21,22019701","21,62457973","24,73642591","19,52004365","23,59113183","22,92927279","22,44217017","21,66796926","22,48339296","22,2739098","21,76858282","22,80285489","22,2369226","21,99160253"
P04275,1257892690,"823002331,3","907698163,4","819205915,2",1134193548,5338543675,1987122094,1801125133,1154995905,1727097605,"753829733,3",12233765872,13547213934,22607876883,20996047904,9794843665,8912015597,11960916316,11162276632,15783637604,15868076881,9052527650,6073841799,13882155953,10969176299,34176441253,25930348381,11110200247,9294265943,9502078792,7210197423,16658416523,16535429410,15849268313,17064896560,17913398343,16523544217,13331555428,12037330920,12846758666,11014712291,11608243642,9714643824,27719175009,23656232106,10716352692,8436161842,21480213961,15813555235,9873139505,7121794418,5886200,2039400,5095100,1823800,5456100,5034900,4817000,3783100,6732500,7532700,4972800,5811500,4762800,5092600,5955400,2523500,4210400,4378500,5906100,3595300,,,,,,,,,,,,,"23,08792458","22,93157099","22,98640282","23,0215205","22,93512037","23,1720736","23,18350256","22,08860072","22,35209037","21,8046501","21,65096182","22,77950072","22,68209328","23,24907711","22,80273195","22,74724977","22,0808277","23,06728054","23,08731443","22,48853675","22,06323692","23,63763073","22,51415517","23,05322807","22,48339296","22,10524817"
P04278,"523662800,6","295371897,5","840809934,5","580916913,4","314646592,6","400655157,5","174860587,5","678060576,2","267604508,1","824466309,1","414083665,1",9804860866,10882910821,6462624550,5028563557,1712931586,1627503376,8507123527,7194675358,6100613280,5118806120,5979346726,3596785290,3327349359,2050597574,6671816635,3712941296,3779563403,2325215111,3520293697,2208599834,3622436374,3429952516,4150253108,2848853520,3656249142,3194875566,2993317964,2624276663,3443633178,2710170173,3477919055,3341881726,8104681758,7990719213,11049074229,6234060684,8207713501,5432912446,5267190923,3394224266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,04581906","23,19402922","23,9749856","23,7448196","23,47066436","22,14654719","23,12130574","22,29058181","22,2537619","22,16330733","22,28718746","23,32614575","22,82956249","23,18545261","22,78089319","22,60022428","21,75349706","23,2617583","22,28200385","21,83423709","23,12059048","23,35157588","22,74231154","22,65393015","21,71507628","21,64255034"
P06276,"572702208,3","502606338,8",566468580,"222750469,6",443182415,"317489082,5","333722518,8","275561222,8","439080175,7","393002516,5","529083348,5",2529941216,3225288316,2475095725,3122769539,2084791839,2533415551,2490883088,2692172615,1466355323,1795514997,1962889107,1354705969,4703020350,3271064740,1998282223,1504108781,2206472005,1968700006,2816232176,2028196156,2064392471,2068007585,1449200723,2125377075,1571335196,2051656876,977588680,1570584478,2746286014,2377560799,3679160515,3229959056,3022771203,2283364227,4101152687,3489333757,3550650808,2587950640,1945027166,1476174675,11061000,10310000,7961600,4156900,5049000,3644600,8777500,10463000,10617000,5049300,3186700,4874500,7038400,2816900,5405800,9310500,6101100,4685200,5074200,8734000,,,,,,,,,,,,,"22,21930923","21,57019913","22,32603211","22,30810957","22,06597192","21,63381099","21,56100806","21,49990201","21,39994055","21,56296731","21,42784483","21,62651796","21,33216381","21,24368196","22,54283674","21,32782949","21,8532827","21,73046942","22,0082524","21,44304773","21,10311419","21,48537586","20,97226608","21,37715392","21,38092242","21,21785158"
P06681,12517010169,7011318883,8963062925,5996716830,8127795893,5967423513,5072397388,10115211528,6400681134,7289600685,10239695299,23535802636,27855726263,58138928021,35640727052,19440422815,18797806953,24995488254,24487238129,23999243401,26484278195,15721156950,10460008187,31844549892,25429259032,31541975103,26284068463,38687901340,28070679001,33175840536,42369351082,25832984763,74103351765,22212779824,31335042427,33477353673,36362359883,25713932723,26576733892,22361883177,18488999901,24679814742,20619565037,33375006033,27846493094,30337355930,26698863182,26543899497,20190506420,38019764223,23438381867,12513000,10490000,12109000,9311000,7742500,6399900,12842000,9071100,11818000,11058000,20847000,20745000,11666000,13467000,8262400,10852000,16498000,13761000,10628000,14857000,,,,,,,,,,,,,"25,22741946","24,80604487","25,1075906","25,18701921","24,85997948","25,19333447","25,39376558","24,73018377","24,53314245","24,79626999","24,99562335","25,11246942","25,49413856","25,36544699","25,22635235","24,97612238","24,54303774","24,97365822","24,73592569","24,70679861","24,78505532","25,38317847","24,93337124","24,96090313","24,82747606","24,64189527"
P08697,12380726338,7990905220,18639709638,4878438550,10435574438,9193108473,5791338306,22900372246,9357644710,20916331089,10031593645,40233356650,43395487580,45094302666,47263632463,30316198590,26170429501,35502676017,34038502273,32910592814,30991837069,26540827891,17088781467,51216224439,37416995272,72642057296,54220528727,54745534160,43264777230,83603470138,57512474323,28771727952,28264577378,34679402746,40606963611,29974615304,33959173940,31436673632,33965016864,39351889250,29350890382,40238425944,31705471222,39569057598,30784606557,41936649903,32149097817,41281089984,28567652114,48265165363,37920091997,189000000,129770000,153110000,120510000,78449000,116550000,162640000,159170000,142190000,119180000,153770000,152450000,142740000,167250000,63512000,101700000,103910000,90261000,103410000,185490000,,,,,,,,,,,,,"27,14441562","26,49012627","26,96406875","26,78115675","27,17720292","26,57962946","26,68947636","26,82328628","26,47061172","27,1251323","27,2165825","26,86820866","27,38284423","26,78810922","26,77134139","27,04910342","26,71918758","26,40444459","26,45123692","26,29808699","26,88557302","26,83413051","26,55509245","27,04108632","26,62954518","26,2518825"
P09603,,,,,,,,,,,,6181000,,16187662,,20097352,11279630,,,14276704,,2951141,,,,,,10396004,,,,13645683,4479049,,,18448992,,,10398284,,,3401151,,,,,,,,,4322769,0,0,0,0,0,0,0,0,0,0,0,344580,20153,0,1159600,0,0,0,4900100,5439200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,83529032",,,,
P0DJI8,,18505936,"6290993,5",11229864,"1300878,125",75881472,24795470,,21789153,3807008,23052502,68772072,130239556,145697620,164572643,88498626,107819446,78871968,77569605,21409788,54042165,86924369,69314496,71800868,108310280,476759356,399650475,303348474,408354817,363203025,235479189,95944942,268427392,456314951,872028929,348558110,851709079,336623883,735099178,480391680,414817130,405519448,327819252,131257560,54675946,74388239,262748644,288140864,50128723,259403086,193681686,9120100,72669000,101670000,101750000,9061100,177550000,1111000000,9697700,46174000,153510000,2201900000,483420000,21883000,2468900000,14978000,22431000,274130000,487780000,53888000,15034000,,,,,,,,,,,,,"21,1532238","20,80920945","19,21212654","19,41573241","15,92770919","19,81213862","18,74049017","15,80157676","19,85918305","16,91344494","15,92200488","18,3382486","22,16460839","21,36736509","20,95230736","21,93962672","20,68309813","17,19538295","17,26335863","20,65528239","20,88518339","18,32522745","16,49133396","17,77157329","17,22724222","16,05378744"
P15814,,"2803964,5",,"7235153,953",6698519,8930960,"35787440,5",,"4726777,5",,"1509636,625",,,,,,,,,,,,,,,62744768,33114454,,,,5361705,,,,,,,,,17009746,16902524,,11012360,35018964,31920432,15827775,4434318,,,3472537,,27892000,20111000,16832000,62293000,26136000,36305000,12058000,11896000,12889000,8397800,23681000,17118000,0,34796000,5157800,28995000,3401300,0,22734000,24980000,,,,,,,,,,,,,,"15,84905927","13,44039775",,,,,,,,"17,72099052",,,"17,39602725",,"17,10000723",,,"18,92054178",,,,"18,4591891",,,
P15941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,82139874",,,,,,,,,,,,,,,,"17,20452605",,,,,,,,
