Accession,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F42,OCwt1,OCwt1.1,OCwt2,OCwt2.1,OCwt3,OCwt3.1,OCwt4,OCwt4.1,OCwt5,OCwt5.1,OCwt6,OCwt6.1,OCwt7,OCwt7.1,OCwt8,OCwt8.1,OCwt9,OCwt9.1,OCwt10,OCwt10.1,OCvar1,OCvar1.1,OCvar2,OCvar2.1,OCvar3,OCvar3.1,OCvar4,OCvar4.1,OCvar5,OCvar5.1,OCvar6,OCvar6.1,OCvar7,OCvar7.1,OCvar8,OCvar8.1,OCvar9,OCvar9.1,OCvar10,OCvar10.1,iBAQ G.P 1,iBAQ G.P 2,iBAQ G.P 3,iBAQ G.P 4,iBAQ G.P 5,iBAQ G.P 6,iBAQ G.P 7,iBAQ G.P 8,iBAQ G.P 9,iBAQ G.P 10,iBAQ P.P 1,iBAQ P.P 2,iBAQ P.P 3,iBAQ P.P 4,iBAQ P.P 5,iBAQ P.P 6,iBAQ P.P 7,iBAQ P.P 8,iBAQ P.P 9,iBAQ P.P 10,BENIGN_1,BENIGN_2,BENIGN_3,BENIGN_5,BENIGN_7,BENIGN_8,MALIGNANT_2,MALIGNANT_4,MALIGNANT_5,MALIGNANT_6,MALIGNANT_7,MALIGNANT_8,HGSOC_SA01,HGSOC_SA02,HGSOC_SA04,HGSOC_SA05,HGSOC_SA06,HGSOC_SA09,HGSOC_SA10,HGSOC_SA11,HGSOC_SA15,HGSOC_SA16,HGSOC_SC01,HGSOC_SC02,HGSOC_SC04,HGSOC_SC06,HGSOC_SC08,HGSOC_SC10,HGSOC_SC15,HGSOC_SC16,HGSOC_SC17,HGSOC_SC22,HGSOC_SC24,HGSOC_SC27,HGSOC_SC28,HGSOC_SC30,HGSOC_SC33,HGSOC_SC34
P02792,,,,,,,,,,,,,,,,,10665182,,12068518,,,,,,,,11399574,12154145,5395056,13036020,8141226,,,,15124440,2964705,17587282,,,10584082,10217570,,10765486,77461448,62524444,,39569776,22016838,19413190,19841278,24394330,5969300,7806200,799850,2306000,3025600,1019000,798190,5374600,11862000,7031800,869900,763470,3962700,25965000,8190100,5668800,3096400,4216200,3747100,8706600,,,,,,,,,,,,,,"17,27072745",,"18,77091385","18,47024907","21,04369882","14,34156646","19,02204255","20,14345632","18,09102193","20,20750438","17,80746105","21,53921387","19,27090518","19,34321247","20,69472071","16,04291991","18,17875992",,"18,65706528","18,38168992","20,07593467","19,05344521","16,40285891","18,6103993","19,8795973"
P02794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,487040,0,111120,0,0,0,23380,705910,299950,60961,118970,392360,0,120190,433380,0,0,13329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03950,"699603,5","22086084,75",31227839,"28138802,76","32530239,81",8987165,"8073216,438","23234831,5","17450781,25","14039184,75","24421286,58",215777488,189594029,170688852,123425368,11516338,189295141,323051333,217746536,73744816,128370320,79076448,62853587,372262398,320930810,237138274,45978952,6561913,15238934,17350243,38114031,175754878,92382264,142477876,152236911,63697699,167832285,62561488,62169920,195811323,175964764,240286486,233013657,309879654,224183450,303495296,202708796,105433315,107142728,,,3239400,1034700,2219000,2017600,2097000,858680,2309000,740960,4020200,4276200,1168700,3296000,3348200,4304600,2670300,2094600,3867500,3046100,4283400,4153700,,,,,,,,,,,,,"18,84352266","17,55845932","18,11670534","18,93311574","16,40754713","17,11696001","17,28746611","17,24373886","17,78769722","16,69547699","17,97211763","17,64720919","18,73109933","18,39345503","18,45984913","17,47518189","17,56170975","17,9345914","17,09336264","16,48869187","18,64311112","18,03164326","17,93270397","18,47223757","17,79384554","18,23843352"
P03951,1225287475,1044354099,1002750215,"860222539,1",2148530993,"728981231,9","625673954,9",1304736217,"421155898,6","907445770,4","895429517,3",4003301982,4632080578,3428613492,2945434456,1852233489,2161562295,4732302915,5206354961,4138143484,4036867273,3949297430,2446078684,4616007721,3297914888,2251224025,1766628559,3317793434,2004161635,3991328435,2585716028,3827288267,3900341158,2173767433,1962391137,2179269482,2592766648,2044023589,2063866121,1538409728,978696471,4369298751,3395995655,3359180434,3024814740,2880326649,2450283619,5519398882,3776131078,3485159508,2020311333,7864400,5193000,5240300,3406700,3233200,3779600,3898100,2994000,5495600,3044500,3430000,5393800,5070100,4176300,4253500,6365600,6685100,6944800,2949200,3461200,,,,,,,,,,,,,"21,95194168","21,78728649","21,82487202","22,06590296","21,00310416","21,65540324","21,14860765","21,22341666","20,29062352","21,08269994","21,14609069","21,36184925","21,14169133","21,13808642","21,01218487","20,66065726","20,61493154","21,80842451","20,65812446","20,13275776","20,64468022","21,4076418","21,0125309","21,04156229","20,5523092","20,24078057"
P03952,9064422048,9016994893,8075762059,6837964216,7377676630,3909882211,5403244198,7055261469,6255890173,5601586085,5064568535,37534449952,31828043475,26642247372,26113961048,25314728658,22067078903,25579206948,22259706350,17142649187,17438791543,28780504843,20027645835,32559791156,23594814430,17391475158,12971352102,20535312879,16201310924,41300983067,23766595979,21106224546,18715029377,15344492269,17215692383,15314657167,14734157275,15678437183,16686787879,14378688466,9779356215,23862113865,20326240121,23300109183,18404030056,28312149335,20722142596,29503476435,22049803004,22896788860,15245162584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,48021468","24,73099473","25,60002033","25,08599879","24,95569168","24,68896001","25,33864593","25,12793058","24,39766442","25,03730226","25,0470271","25,33719896","25,25672199","24,94253996","24,94192412","24,76751956","24,8832148","24,83359848","25,11246942","24,51466596","24,93205472","25,04279076","25,07878884","25,15996471","25,02787602","24,87774462"
P03973,,"1925665,125",,4508942,10814906,,"857102,3125",,9317132,,,55118848,56764064,30493004,85702472,5119585,,,17332702,87054040,68475752,45447416,23664842,102123536,76129000,56117544,36472660,30570214,14180292,22468338,21635426,44465392,27677170,52661516,63263676,56676232,50160868,50939964,13600975,,,47450020,32986696,60038480,41870272,73196040,62828892,37578332,36721036,,,335050,366820,0,34101,203080,57858,546890,417040,488040,655530,292830,1086100,0,1748600,0,0,236870,517100,200290,770390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04003,133515000000,145562000000,122593000000,97987369707,141570000000,73292003139,79749799474,149459000000,97023826055,120373000000,74392027789,277725000000,292093000000,293369000000,291538000000,209112000000,198684000000,355124000000,313152000000,278763000000,277666000000,299804000000,196312000000,374578000000,300699000000,280419000000,208288000000,258496000000,223596000000,245363000000,175068000000,280505000000,259801000000,259754000000,278342000000,265647000000,265804000000,262989000000,231167000000,99904397877,74709291169,280552000000,247744000000,308999000000,263333000000,367101000000,261148000000,313938000000,244687000000,275160000000,201676000000,800530000,660110000,639930000,629220000,455760000,309550000,857870000,436710000,653220000,623340000,732340000,610140000,587940000,554000000,447250000,408270000,749780000,576790000,416970000,643460000,"1,144091951","1,474764404","1,353183808","1,904024202","1,582561048","1,351480228","2,076313559","1,945602826","1,668248653","1,531203867","1,763540286","1,735445925","27,37695256","27,41665959","27,41657951","27,41532585","27,34920256","26,98105488","27,1041326","26,91913416","27,25081455","26,84935269","27,30057673","27,14159978","27,67450508","27,72556507","27,34358083","27,21824578","27,05532068","27,60359319","26,69892863","26,45052441","26,37487634","27,37371981","27,15783726","26,95584498","26,79235128","26,74552868"
P04004,73997931805,45670739668,58887201288,46073452238,50689933259,38200722563,42975949713,42930466252,44570208042,55316477704,37704874474,109810000000,115874000000,114557000000,107525000000,101832000000,106692000000,77777624138,63961286156,121015000000,82825393667,55307727484,35046751873,110860000000,89855690076,181995000000,148168000000,136843000000,109621000000,148128000000,102057000000,108759000000,79363904227,113232000000,122911000000,126748000000,126103000000,70853956481,83082559980,76290147762,62862540267,90072673013,82778550177,102944000000,83894334853,115937000000,85581044188,109697000000,86672208530,154014000000,84620651208,1006200000,851410000,867540000,566270000,469760000,447250000,655960000,757580000,477160000,776130000,816280000,698490000,733960000,621260000,488900000,541510000,762030000,606630000,778230000,1024700000,"1,075213001","1,26748705","1,429277188","1,328004739","0,9887614058","1,068152685","1,062045556","1,376745745","1,193310109","1,388133907","1,062517562","1,061089379","28,63479562","28,14856133","28,56121871","28,62125936","28,52893819","28,44620957","28,58128872","28,68752206","28,13793344","28,37678973","28,6588796","28,50918842","28,78087155","28,66537488","28,61750139","28,63114125","28,18967282","28,55979859","29,01762973","28,67997242","28,70726871","28,57245542","28,39647541","28,43275008","28,47314774","28,44919816"
P04040,"388533900,4","122865572,4","95455915,56","146807105,4","224442574,8","26996484,94","87010906,69","56742640,75","99732363,5","528494050,1","81645187,75",1879017535,2341184005,765807271,804086075,569825838,1078629177,887289122,920310615,762835503,704442784,1719329252,1106386610,965038217,591959810,1965835008,1044249367,205878669,78930850,3813073457,3426049826,1581074741,1684201404,2103392742,1285077170,3157853235,2880829149,4319974068,2874009734,12831902538,11019795004,7728614678,7146915498,1761178311,1763851462,4338740500,2627112397,2576662462,2019793486,1184950876,1004602383,4009100,2121300,2884000,2086800,3099000,7294800,419680,1750300,2196100,2442900,2486100,1618000,2553800,1429400,2759100,2120300,2606400,2406900,1386500,2020500,,,,,,,,,,,,,"20,6128093","19,58267445","20,70980258","19,49932842","18,75806745","20,56677688","18,18515236","18,43743335","19,88498683","18,5340031","18,90104999","18,52883731","21,60243364","23,13324149","18,88081529","19,39324911","20,79485222","19,5108835","19,28990907","18,91651151","17,40391764","20,71555837","17,81920653","18,68955019","19,11086581","18,25650497"
P04066,22503310,6124156,"35042541,5","16745789,5",21580895,"40915663,75","17301998,5","35288917,13","9665902,094","21518468,88","31391487,25",127584157,173285953,272605815,421120540,102925414,108810116,180564132,276242464,200455568,223175942,73852214,30200103,265488354,168732668,134457245,126496989,174643403,146327178,276759580,136049244,98941566,150799164,168248492,424825482,131421807,361165440,91657320,329026032,250823756,213952500,130637068,104923272,260781385,179767935,115091620,135999430,238806374,132250836,178748978,112955086,53609,"6291,6",105960,97196,0,37330,150170,53422,77394,0,0,54739,"6786,5",123930,193010,10235,10774,0,0,15208,,,,,,,,,,,,,"18,11788807","17,91350976","19,02732075","17,73451976","17,81538912","16,50914965","17,78221939","16,08551211","15,84356331","16,43811798","18,32009114","17,9139707","17,14812625","16,90443371","18,5939255",,"18,12260854","17,33516677","18,62066517","18,01484713","16,68792239","17,317868","16,62895466","18,09140507","17,7124306","17,8283375"
P04070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,052005","23,12955611","23,77373637","23,64319028","23,2774007","23,25037861","23,09349347","23,36393215","22,82171883","23,30549068","23,3576241","23,21251213","23,81733782","23,4252861","23,2488702","22,5675642","23,00924004","23,51816361","23,65375574","23,05780098","23,06354598","23,46725216","22,9117639","23,61292","23,24335504","23,19325772"
P04070-2,1060979967,"197536607,8","490671120,8","149695231,6","228225198,1","61500585,66",147231746,"406793145,3","148969953,1","582419017,8",92655570,2226376498,2294429050,2794475792,2995698240,2191498896,1795947978,2782231190,2654270438,1703190731,1639030663,2264851037,1729590727,3447671689,2225466117,2119667776,1535642195,2198519350,1719403369,3359934264,2243749760,1381272549,2387901611,1658912825,2101565705,1796187568,1888884944,1147982074,1637156859,2013261249,1225640282,1960082011,1698213225,2662886863,1792725137,2232026586,2331519153,3267699128,1962708179,1737204673,1264324943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418900,5577900,3436600,1586400,615100,1651600,1552500,2106900,1462400,1603000,1346900,3602000,2835400,825050,823470,830420,3012200,1235500,1770300,1769800,,,,,,,,,,,,,"17,87606156",,"16,85461592","18,13339772",,"18,86332573","17,50283515","16,79674159",,"18,10117126","18,79002705","18,09940323","18,24823396","21,81865857","17,63043034","18,30715355","19,362748",,"16,95500507",,,"17,68528401","17,74416261","17,40787166",,"16,88267507"
P04075-2,"140082277,3",56885772,"111948346,1","63639569,06",82848868,33292436,"71833037,19","65928217,28","95702804,34",121344949,"116572051,3",512018288,434278119,371500601,469596661,258551100,268362036,274228060,189124694,279702585,235589937,710569757,445386464,516106213,553069110,1218048719,867356150,94522944,94072115,505489344,334583306,558533472,710000822,367325530,436152632,525035326,521715815,422474902,644351146,1874916354,1786099960,569373786,592850025,315299478,437537069,432451961,342590339,355199393,268731798,345508513,249537675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04080,,"5609274,5",,9190798,,,9934026,,10188658,,"1996668,875",61076646,85423180,15443642,50998825,45622710,41545742,16332036,12151798,35676454,33874721,14645564,7765633,13477191,15862310,111344540,104613340,,,67046554,32310722,18543244,30684567,24805374,16411010,12495291,13709230,34752264,19497816,6917522,4611043,42237986,28190695,65288130,48932876,41656198,35291924,48533994,38750648,16024964,16039522,0,0,0,0,0,532180,92720,0,166500,0,0,0,0,100080,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04083,6441648,,"17421852,75",,,,15096038,21542993,"1111822,125","19693763,5",,18264586,7000148,11416265,20350438,5270429,28229984,6721137,,2337923,2135435,63306985,22357209,25202179,57149302,1795671882,1254824838,30872776,60895069,3769172,11582538,55377826,13596259,179665833,24291069,26629806,22037731,,36291788,359813870,394504943,80151106,94827942,4243815,43934868,63568418,18360113,7232667,,18699085,45483356,672360,0,262230,422170,267230,654420,1506100,0,34211,92785,402460,239950,177330,2004300,34222,127450,1436700,108640,86664,0,,,,,,,,,,,,,"16,4958312",,"16,37213512","16,06834733",,"18,25564648","14,60049048",,"15,55840646","15,3724587","14,41025296","15,03999161","16,9588663","15,90091453","15,50475828","16,69162519","13,92664134","16,52396838",,"16,38108115","13,76944378","16,15752086","15,14726817",,,
P04114,290078000000,313160000000,400742000000,275801000000,374689000000,84211673146,102178000000,418955000000,235157000000,279544000000,261381000000,984138000000,1114130000000,979236000000,1032870000000,668352000000,706113000000,1527770000000,1442200000000,887040000000,1069670000000,1142210000000,730018000000,1723290000000,1318740000000,1284180000000,958403000000,1078960000000,888866000000,1837390000000,1335860000000,1001700000000,976658000000,911691000000,1117550000000,782286000000,845681000000,1086170000000,1168740000000,1363910000000,1117620000000,1317830000000,1149530000000,1347030000000,1135240000000,1466180000000,1192850000000,1189250000000,893741000000,896676000000,638130000000,262580000,251660000,335660000,245090000,135420000,182560000,277430000,291590000,245770000,250300000,342370000,269560000,318610000,257720000,186830000,218200000,294810000,145180000,289280000,263980000,"4,542999731","4,736189477","4,204535621","3,942201681","4,951414074","6,699889949","4,974507477","5,897896012","4,110732442","4,093359042","4,392427419","4,374136125","28,98849811","29,25687864","29,32914628","28,89204335","29,02485341","28,67033589","29,28402019","28,78823897","29,25254803","29,01475423","28,84354902","29,01762973","28,09991467","28,74366987","29,16140325","28,52377388","29,1399789","29,1399789","29,24815651","29,43992265","29,0062477","28,92766836","29,02094074","29,13768623","29,0062477","28,79107652"
P04156,11053318,,7259742,,,"5934785,5",,"6206198,5",,"1885867,5",,24876142,44547568,,54665300,19743596,24330242,25873586,65070692,47507624,53854960,37831204,28463636,37168464,27473000,45182936,26023378,38382100,,,,,5999771,10604584,,6654918,97780712,20174626,7250282,52515672,41069756,21294014,22894906,27154618,,26839272,14951515,,5953789,34672872,13203308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04179,"54400365,5","7686335,5","14015783,2","5752311,125","11739064,83","500057,3125","9925777,938",6742969,"9461472,5","30778635,63","41549646,75",114955203,139881465,39939224,156455372,71658561,84835712,41635063,77357278,52866910,125430870,99642400,39912221,176067784,142488633,90517112,78177266,92503430,29358422,74426632,28541500,80455146,178211711,31193033,88404046,37610329,67259604,19508490,175020841,83556200,118288059,58827248,70280215,45764270,54163294,38555180,42697970,64875752,30744088,321305929,244003835,93317,81496,326810,122430,324280,0,0,0,70336,85323,22899,395620,473320,239930,396070,351810,56044,27718,462470,0,,,,,,,,,,,,,,"15,66962613",,"14,41291691",,,,,"15,9071611",,"14,86360633","13,65246572","16,94561366","17,67299933","15,42213232","15,7566366",,,,,,"17,77749903",,,,
P04180,155095976,"65781500,13",90990541,"43667409,5",208037792,"41298219,5",45465393,84139722,78955029,74988781,51866807,576832492,512880736,388554150,341942448,239440804,170379572,277128457,202056430,292169384,276404672,301464644,204607463,374071472,266924497,380971089,350390895,244058888,220835438,587766469,405352641,243349158,283589689,157380692,248472706,243749928,177670148,106461492,151285776,174175152,118191225,269551442,208135080,241967001,168411965,314564904,234995495,347299325,267050018,360522492,192267492,18631000,13852000,15467000,13429000,15185000,5584800,9492700,24216000,16681000,10432000,8121900,13605000,12618000,6318400,9349600,10239000,11455000,4944600,11508000,17558000,,,,,,,,,,,,,"19,06906335","18,14552163","19,41300614","19,554537","18,27753051","19,29819017","19,9331334","18,95442347","18,02584563","18,33045687","19,58220428","19,02263172","19,39251295","19,10903699","19,12979063","19,43045704","17,31643872","18,07364191","17,84342728","18,34424538","18,6909321","19,03489996","18,66986289","19,36728486","18,77339009","17,87877659"
P04196,8458904182,8751705328,12534518216,5470606626,10947238062,7075255094,10210672300,10100043095,9153547050,23195613279,10939947467,93206722822,91751371322,63703963653,67586271708,17791924827,20492446533,67418356379,66637147674,33244585713,32910569993,44471182667,27638356141,62759261503,42183851045,39688043176,33262347376,44297320759,22296011234,73565071546,56566427784,47084135974,60696991911,36950176390,45277266687,36410319951,37681598719,50595233745,32809823864,49634901870,46708808222,104976000000,93371741982,75123161751,68139876871,84331281293,55783383685,114233000000,84927151036,46925784176,31637530080,559590000,753670000,680930000,611590000,380670000,285730000,536980000,576360000,673530000,356180000,508160000,583190000,540680000,276110000,328150000,427120000,664030000,412690000,400660000,570410000,"2,362422409","1,351195329","1,416338269","1,05759893","1,804433457","0,8123527887","1,356819334","1,276738781","1,141182269","0,923209866","0,7439725522","0,7484244806","27,68845158","26,41036943","26,88753201","26,56215259","27,63773709","26,89844864","27,19017761","27,38503276","26,3917435","27,02734862","26,86270512","27,04580823","27,0123916","27,21824578","26,69954462","26,66268463","27,14679645","27,39289529","26,77809685","26,6305842","26,62954518","27,22937134","26,88675354","27,4479723","27,3465178","26,66268463"
P04206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4768500,994060,984690,875150,1269300,3509200,1133400,1352100,6798400,2188700,4342000,5191300,0,9600800,2158400,1414500,1710300,2966300,12955000,175890,"0,04615847935","0,2470407443","0,1024766763","0,288419341","0,06139003431","0,05645604395","0,1881471029","0,04775205457","0,1975130955","0,3768706101","1,074069948","0,6171117268",,,,,,,,,,,,,,,,,,,,,,,,,,
P04216,,"5398694,5",,3341318,"1823313,625",,,,1368953,,6895532,,6495173,,,,,11582214,,13820696,,,4327142,,,,,,,,,9131712,,7917066,,20203950,,13400740,,6267945,11796554,6279122,,,,16089834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,64765938",,,,,,,,
P04217,22627601767,25195386603,55645231171,26205919189,39012133801,12347088820,31624148645,51323229651,47012640055,57952925535,10365515242,67639111178,71065058224,84257665783,87583572591,50299865146,22737157661,72086134119,62193486098,79674246102,76220674970,99460427223,60944107888,95470281449,74324926014,76809360063,62008043697,86231408131,68703431326,93231730681,65931593649,64613368439,78409792593,81119879366,105084000000,78439402091,79578272798,74847742236,63407377827,8843930558,10843629507,65597579513,61477265235,80057782998,74266910396,89722766095,74632046505,75743721583,58018176031,67547578793,35878275470,1659400000,1136300000,1379600000,1027300000,777750000,514460000,1170100000,917640000,1172000000,1121900000,1418300000,1122400000,1104000000,795690000,956940000,1142800000,987940000,962850000,978890000,1640300000,"1,71026675","2,232367818","1,745591486","2,142380472","2,204719045","1,602090484","1,762409383","2,101052279","1,94834201","2,34382054","1,970627475","1,822693276","29,16839179","28,94149612","28,92138356","29,16292183","29,12940913","28,9597273","29,14773599","28,99675734","28,73591027","28,81670165","29,13652312","29,12267702","29,20071018","28,89981714","28,79531518","29,06774156","28,31499851","28,9572544","28,73042919","28,2940523","28,80321863","29,00323151","28,82537648","28,75708985","28,91413143","28,89981714"
P04217-2,"9112516,5",3224887,6482438,,"1816711,625",,,"2134075,75",,"1183145,625",,13953495,26224512,19092530,25172470,8679267,11327274,14548649,22751334,36653324,47839604,34408832,18834456,34558588,21969352,13603381,4963784,23588830,24216658,18224682,18385566,10413701,13517090,18879466,37809728,20715600,26562588,21408140,34743704,33748417,36845676,18707550,21364005,17411016,11615417,16939648,17279750,6837464,9554199,18057828,19944718,0,989120,1397100,32813,0,0,1175900,520190,1136500,1226000,702720,1196200,628290,643420,416810,1041100,1269700,0,678310,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04259,"3866886,25","2002215,5",,"1352567,75",2554174,"6444633,5","3113560,5",,"1433199,375","427205,6563","6838893,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,44862759",,,,,,,,,,,,
P04406,"352855777,5","11550428,13","11900786,31","53527955,25","48881967,86","6928285,25","22540785,63","3551587,773",7156400,"66967456,27","141121632,9",1264306871,1683394654,1835276390,1815611228,1870810598,1967081229,1260069545,1202087254,515385306,509990245,882945741,542379094,738427281,560310522,3529127936,3106849071,609378122,458129906,1992308385,1480819591,624967135,1114400283,626345923,1204327410,1738816084,2311561704,1445709164,1920147231,11450451144,7000368771,2700241680,2272930356,2666707033,1664310449,2514187303,2368696274,1776150831,1147075624,1773340723,1603504814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,50161656","21,31072888","21,84497926","22,1358776","20,07798594","22,46299375","21,10921378","19,71200739","20,97226608","21,67135623","21,06989537","20,39092822","23,57558506","24,65583904","21,33384942","20,89354374","22,51764913","21,88291778","21,24300678","20,7364617","20,70044946","22,61219892","20,74250008","20,86968089","20,93024946","19,86645236"
P04406-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730200,12457000,10547000,6023200,2140700,9671900,2297500,8868900,3818200,9124200,5354700,7316400,6172600,2884500,1129900,4733400,12776000,4331000,4478300,5305500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04424,,,,,,,,,,,,,,,,16982513,6510084,,,2943500,,,,,,4020270,4846480,11098568,,53568335,4052221,,34472148,,,,14273175,33855660,,81085388,35902536,,6921970,11835575,3571832,,,15041454,,,,3154100,4259200,3278700,2795900,1021400,1940900,994630,2630800,1091100,2340500,119630,652900,169500,384950,107520,2574700,571350,2020100,1779200,128470,,,,,,,,,,,,,,,"17,15656317","15,15588989","15,81905883",,,,,,"17,37720872",,,"16,77387929","14,95049866",,,"16,88182418","17,1998391",,,"17,07174055",,"16,24241745","15,50226297",
P04430,12282964,,,43662672,32600996,,59382959,18480070,26930184,,,,,,3762930,8498373,,,3024106,,17929924,,,11735946,10617009,,,,,10895465,18922960,,,,,11493014,11419246,,20716688,10391708,24248464,8057606,,32414920,37465004,,23745710,21495372,15819868,7675397,,109550000,32791000,20726000,37173000,39355000,30931000,35145000,37597000,61130000,60583000,36750000,21799000,25059000,37953000,22985000,38677000,26489000,328240,78555000,4455500,,,,,,,,,,,,,,"23,57839879",,"21,99310075","21,61460184",,"21,16669163",,"21,0357665","20,22446795",,"22,28200385",,,,"21,64255034",,"17,32505813","21,7238129","18,838028","19,97159645",,,"23,30662905","20,88518339","21,7459435"
P04431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754370,5896200,2144200,31932000,7417800,4658500,0,8598700,626030,445540,127320,9104700,0,0,45630000,8701100,7142700,9712500,181320,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4984857217","0,8190304774","0,5207294609","0,5988992922","0,8376177573","0,2381652126","0,4108774206","0,4536385371","0,6742797205","0,458211976","0,6663071236","0,7854929826","16,92246628","20,31863686","17,02279231","17,69233817","20,20960488","16,3335026","16,99068854","17,52050659","19,91429118","18,1975647","18,06891994","18,12905235","19,11806745","17,03514985","19,86763442","19,96306432","18,98208957","16,89010463","19,47139397","16,76031023","19,2424763","17,76239057","18,71680433","19,17181743","19,06415122","19,66947155"
P04439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,36412456","16,94538637","18,99280946","18,04545497",,"16,93894043",,"15,40807798","18,92799419","18,37668465","17,04498703","17,45611721","17,50448194","18,18124864","17,73607559","18,10407129","17,11020531",,"18,73775155",,"18,23684123",,,
P04440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,320980,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04632,"19170582,56","2117460,25",,"2743148,25",3011450,"3165535,5","5384080,969",,,,"6236762,094",41442469,61272869,31707987,129254546,667248,12515726,55494973,50579933,70930908,73582229,77400232,70492606,53563233,21453767,82541674,109169076,,8071490,39637572,32288237,64754857,55473140,17557736,72260902,11976290,122945271,15955382,46755177,119156880,133153139,10546212,40575951,15996847,16586260,18103178,9605367,56135624,20528750,42318012,23891765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"16,44350575","16,65947469",,,,,,,,"16,88820073",,,,
P04745,"20763946,69","25552853,75","28803025,5","30473766,25","18119933,14","6394584,625",62873930,24592606,"86933103,5","43604104,5","9675958,688",,,,,,,,,,,,,,,,,,,,4626288,,,,,,,,,,,,,2603796,,,,,,,,0,0,0,0,0,0,0,0,0,552380,201700,0,0,0,0,0,0,31119,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04746,,,,,,,,,,,,15437705,25339522,74480576,93034263,,,27130876,36875972,127187935,206480836,183792452,127106804,48768600,35708313,22379662,22370832,28467450,3248183,34978304,29512398,11601011,9005454,43918183,63760318,20803880,34074133,59179868,,,,13023137,19897056,6330522,6168990,,10014809,5679075,3876113,,,662210,216700,793400,391440,577370,645960,335130,668240,660230,3303300,585710,914250,488570,257330,789760,389810,300110,268490,771350,361800,,,,,,,,,,,,,"17,28529049",,"17,96093957","18,3979767","16,98447726","16,88208265","17,54643717","16,89868883","15,67648997","17,8363489","17,10638192","17,37150805","18,0761095","16,75261742","18,14607042","17,18700928","17,6916016",,"16,46937481",,"17,36703368","17,54730977","17,92284295","17,8773121",,"16,6078527"
