Accession,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,HPwt1,HPwt1.1,HPwt2,HPwt2.1,HPwt3,HPwt3.1,HPwt4,HPwt4.1,HPwt5,HPwt5.1,HPwt6,HPwt6.1,HPwt7,HPwt7.1,HPwt8,HPwt8.1,HPwt9,HPwt9.1,HPwt10,HPwt10.1,HPvar1,HPvar1.1,HPvar2,HPvar2.1,HPvar3,HPvar3.1,HPvar4,HPvar4.1,HPvar5,HPvar5.1,HPvar6,HPvar6.1,HPvar7,HPvar7.1,HPvar8,HPvar8.1,HPvar9,HPvar9.1,HPvar10,HPvar10.1,HC_M195,HC_M197,HC_M198,HC_M203,HC_M207,HC_M208,HC_M214,HC_M215,HC_M216,HC_M225,HC_M228,HC_M230,HC_M232,HC_M234,HC_M241,HC_M243,HC_M251,HC_M260,HC_M266,HC_M267,HC_M273,HC_M274,HC_M275,HC_M276
P04264,"399587855,2","607774991,9",4042532949,165462869,2037707515,"598434188,3","772328041,5","298554972,1",405924633,"435104488,4","217386934,4",1110968495,772422897,853746086,676554594,2664607641,3280818747,827568511,568943840,1995891268,1889741266,1008069193,932443427,1126578366,708337370,2306478950,1827521485,638016461,673949886,669279322,381638790,465524356,344719172,599178123,428959197,334051731,236367446,244121185,207489705,258654229,241063602,508105584,528970014,419993664,378906917,714443975,401916289,303371420,155988721,301840039,293383998,"21,96129559","21,4759108","22,35142829","22,20632965","25,31079622","23,33655993","22,4483475","22,45072823","22,97362168","21,4251024","22,79843516","22,95939783","22,46742192","23,00179088","22,78329505","22,81697882","21,87237025","22,04137847","22,00837198","22,45731397","22,12642303","21,26877246","22,41065091","23,21251213"
P04275,1555101278,2111188845,"964029075,1","122469132,3","958497155,5","112791665,7",1414076427,1454238073,1604097555,2440578539,1305638855,15535453777,15008539793,9823860306,7392164418,15818553684,15106621445,17170135332,16496573629,11513353811,10504011568,15806422854,13614637581,12424749450,8980830238,18632714755,15192524136,12294968627,11157815094,10851231770,7438716730,4491785056,3948283714,7579734001,5895722721,3459306234,2398287452,3851740483,2617951816,4743072418,3656842952,5349938050,3382973709,3408781274,2297130475,5160452791,3684481586,6788629377,4424840028,4073297581,3377198544,"19,88993436","20,53445021","21,73901591","21,92619139","20,0334139","20,22190688","20,93634914","21,07700849","19,87869452","19,94895781","20,47523501","20,72527295","19,79366577","20,78740884","20,32462478","20,07675088","20,25710279","20,76549268","20,3979596","19,90447738","20,00760754","19,9691378","19,46984896","20,05603192"
P04278,"756955603,1","119535869,1","506545083,2","255628510,4",1371087752,"881243420,2","309845445,8","286725564,6","874629288,5","858381651,3","165278348,4",12488445224,8947934231,7643228070,6166570002,5645065285,4064559837,6229008835,5718683607,6858026650,6481352991,11701226641,10509254778,3161947835,2053399697,3084560193,1969222851,4129601395,2943568014,5107190300,3035790164,1707929551,1637986591,5487708187,4547309382,5769501177,4760877149,6900777743,3706915242,6648510589,5657029201,2878664919,2521738725,3029143375,2396097985,9582566071,4956111257,4610834699,3564458607,2419082363,1533190601,"22,284461","22,34187996","21,31639217","21,71157551","22,30227203","23,07275226","21,79441135","22,15964699","22,48820537","22,63127228","22,46571497","20,57804812","22,21887269","20,59393595","22,51462693","22,30164463","23,3905578","21,69446738","21,74287165","22,48618079","21,98599156","20,77620644","22,21403279","21,78974171"
P06276,"203253231,4",326890587,"424420790,5","274276906,1","482767170,3","154741880,1","814991699,5",623946205,"795261094,6",577254292,523318652,3042487376,3626782853,3939729554,4337063128,3651968048,5365814005,2202139093,2879374260,3599956817,4673922424,4034397458,3591562237,5171755758,3539537992,5352339481,4767178274,3726434701,3310977959,4147448968,2762455691,4146603675,5140908501,4052721198,3941379748,3935039620,4251569373,2526840342,1997376815,3019556598,4409273320,3548424654,3796650833,2980802726,3288578702,4644558506,3404177672,3133269997,2156311274,3112449086,2523228007,"22,49571228","21,77292388","22,30625987","21,68610266","22,20394223","22,03483257","21,73649193","21,7426725","21,51803219","21,67562834","21,58667279","21,39259296","21,44411985","21,44541288","21,28763797","21,3664951","20,87696045","21,26983815","21,78152338","21,18759796","21,29798093","21,96587381","21,49351059","21,14298043"
P06681,8936404984,4816150666,6341761554,"582365414,9",5757786415,"864516717,6",6589064843,8723262784,9602820897,8372774262,6164224921,167160000000,27735097602,25470956278,23748267409,28030950019,36034456055,26238997438,28746917133,24143297843,25853533775,28651710493,23697517797,33786650154,23570651677,29298431046,25257420005,26744911816,20798291923,26047690948,17969458055,26786861782,27407596310,27183569653,25925500251,26110985039,25950100788,19881020430,17169107627,22967249348,84830529705,22303926745,22257055225,23634556098,13807878264,27978601585,22668646239,25727727792,19504748671,25722292649,16213717736,"24,83768338","24,62672199","25,05656858","24,61709333","24,66490264","24,8556992","24,98400132","24,86383536","24,83234441","24,4384305","24,6640143","24,51948685","24,56820227","24,55246089","24,58637552","24,48206459","24,72414268","24,93629262","24,53864199","24,41102497","24,45459427","24,67902847","24,63221676","24,53972555"
P08697,37138232372,9898171019,24403652406,12467857196,29186819875,6530164581,11397288180,30921756273,10714196666,29930180731,8005500241,52437773912,53409925322,75436663344,78344808811,60433038246,86178605136,40367561288,45383843478,48401725930,54067873048,70860561305,64914249634,83951316760,57056475045,55092189996,55877861141,48004102648,41528946138,55906843317,39105204205,95088902065,80303860844,81859979485,68781067701,81447514062,84191829817,73269857642,57942706196,70463234445,74788404693,69357862863,66461262783,71221072112,51017365399,96393916209,63364632008,76589105543,59699591745,62968720534,46594053986,"27,16107792","26,91913416","26,65337015","26,90070773","27,21391654","27,34639559","27,257299","27,16863082","27,16974878","27,35757702","27,47507841","27,11084283","27,13596116","26,74552868","27,41103398","27,23595407","27,34075823","26,8893731","26,99229287","27,04051854","26,92646375","27,03476375","27,59156719","26,84525639"
P09603,,,,,,,,,,,,,,,,,,5103012,,,,,,,,,,,,,,,,,,,2568039,,,,,,,,,,,,,6635556,2862391,,,,,,,,,,,,,,,,,,,,,,,,
P0DJI8,,"2235487,125",,"1884530,125",,"11989996,5",10084330,,"1450268,75",7131048,8219194,197864780,198463557,87857682,96486489,9742918,37649806,4045424,7356225,,3007356,5595567,9331860,14412792,11243868,83804021,101679000,46630889,54622122,46729666,12360147,24786236,28413081,,22809576,123375607,188741802,33024374,62274948,47360221,38009214,29508418,39920106,18355230,16474507,7109181,15725450,8057032,6451435,119275157,96463099,"20,3135641","18,51402653","16,39385544","15,78729293","17,22600176","14,46629268","15,91979347","17,12715204","15,50102072","17,02134821","17,75195493","17,49924293",,"17,35023378","17,74396004","17,34404238","14,42294518","15,3711293","17,36983952",,"16,10975654","16,86001873","17,0422724","16,11214563"
P15814,43986505,"395182,8125",3845783,,"7179645,5","3964618,125",,40595728,"15507033,16","15515894,88",110314762,,,752297152,561028928,129579512,132419200,99399072,101132908,6601068,,149079776,125399448,43310120,15926538,,17935618,118585518,64652606,17735654,9148693,56358756,52044628,448378508,378030680,246236752,179235373,16744173,9058846,,,116121341,84537537,217648752,162769359,186727568,110542824,98602816,48520248,146105188,112025949,,,"20,5680438",,,,"16,61574971",,,"20,19107106",,"19,35693284",,,,,"18,0738873","18,68484115","17,04951148","15,98560761","19,82784598","18,67112034","15,36695403",
P15941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
