Accession,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,HPwt1,HPwt1.1,HPwt2,HPwt2.1,HPwt3,HPwt3.1,HPwt4,HPwt4.1,HPwt5,HPwt5.1,HPwt6,HPwt6.1,HPwt7,HPwt7.1,HPwt8,HPwt8.1,HPwt9,HPwt9.1,HPwt10,HPwt10.1,HPvar1,HPvar1.1,HPvar2,HPvar2.1,HPvar3,HPvar3.1,HPvar4,HPvar4.1,HPvar5,HPvar5.1,HPvar6,HPvar6.1,HPvar7,HPvar7.1,HPvar8,HPvar8.1,HPvar9,HPvar9.1,HPvar10,HPvar10.1,HC_M195,HC_M197,HC_M198,HC_M203,HC_M207,HC_M208,HC_M214,HC_M215,HC_M216,HC_M225,HC_M228,HC_M230,HC_M232,HC_M234,HC_M241,HC_M243,HC_M251,HC_M260,HC_M266,HC_M267,HC_M273,HC_M274,HC_M275,HC_M276
P06703,,,,,,,,,,,,,,,,,969506,,,34287,,258730,612757,,,,,,,,,,,,,,,,,,,,,,,,,,,73144,,,,,,,,,,,,,,,,,,,,,,,,,
P06727,47806461499,59439783758,81553987829,168345000000,148515000000,67515457136,56425427790,116274000000,152911000000,116037000000,13201960560,207182000000,242258000000,243021000000,237063000000,301968000000,341342000000,130754000000,141168000000,203426000000,215503000000,232426000000,190593000000,173239000000,135655000000,157649000000,131757000000,158185000000,125983000000,242256000000,168876000000,303093000000,326885000000,209933000000,212838000000,238336000000,245746000000,242963000000,220311000000,173885000000,186250000000,319219000000,309393000000,212510000000,172947000000,244039000000,192483000000,250131000000,192486000000,234411000000,148361000000,"25,99087923","26,65185718","26,58048704","25,90768848","26,67795421","26,90498151","26,89407519","26,3596104","26,37860824","26,59104768","26,47061172","26,58684925","26,94459964","26,40309446","26,20614883","26,94815999","26,807717","26,13625719","26,05314756","26,40119359","25,68672296","26,5224721","26,43427265","25,62641089"
P06730-2,30296095,25841321,"13431769,63",,30013952,"3085190,25",27759021,34346852,9594090,"25430977,88",19023328,,590242,,,,940418,,,,,,,,,,,,,,,,,,,,,,,533745,2313403,,565236,,,,,,,3211978,1289807,,,,,,,,,,,,,,,,,,,,,,,,
P06732,"9193940,75",25117818,2189287,"9192454,563","13842806,5","6394881,938","25796415,25",17479983,"5724469,656","2312643,75","12758063,5",62458024,93777419,50992891,82322195,51049255,67429117,2944625639,101849494,108513078,147822197,223957500,209420116,84655012,60616593,317175108,285317832,31600135,43065111,65815148,55951675,64365450,54637922,37275797,9758815,55681024,39677868,115947326,18194030,34092967,43510959,176806820,97078184,52052620,47168980,73847870,30407601,100589130,36266251,,12382840,"17,77424643","19,02204255","19,09389492","18,40625598","18,08496528","18,71037689","18,75899045","19,13599977","18,5536876","19,57738303","21,26825748","19,85966033","17,94945232","18,95923467","18,35943355","18,2533954","18,68651055","18,1909838","18,46609077","18,29648596","18,84771146","18,88848694","18,59021398","18,17891713"
P06733,2426960949,1664027226,1710256732,"274690888,4",3434405603,635865622,2196915350,2496817058,2446521063,2500120893,1838878501,257733917,251903757,41394848,76975351,215329441,354371303,205070870,320684504,99103164,196614728,674498433,465235475,201080741,175610626,206075049,187674076,198992453,198332801,240811215,134701804,39372431,44331106,43045303,50790043,30943341,43476463,54545264,80977038,174839363,267974167,146025863,205278182,113103999,68782003,96261366,49769976,101318403,77953251,155393792,150817606,"18,25902898","17,52050659","18,78615301","17,65494898","17,98177643","18,18249998","17,78974498","18,24402203","17,4313944","17,68717092","18,36270989","17,85518487","17,47076535","17,33969663","17,678734","16,82986007","18,27105709","16,93583902","17,14866989","17,75589192","17,9869793","17,61445566","17,00007715","17,60646852"
P06737,59801625,62177363,"56558652,5","651597,3125","131780060,5","15277214,5",74353942,"91756929,25",87538144,"108790164,4",54490722,,,,,,,11091219,,11450765,3455449856,,,,5754579,,8726053,16923264,7053689,,,,,,,,,,,,,,,,,,,4270337,,16701822,3259304,,,"16,17890327",,,,"15,70122613",,,,,"15,64740311",,,,,,,,,,,,
P06737-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06744,"663389930,3",201232989,"199167671,5",150737223,"439798348,5","99789552,38","131798790,6","199016122,5","204106550,8",386294263,205139504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,99521374","16,66345111","17,78969761","16,49045164","16,33918588","17,47947107","16,8564689","16,66980792","15,73876619","16,95027232","16,71473962","16,42421921","16,66832498","16,99642808","16,62890997","16,74880442","17,29507042","15,97153778","17,15674627","16,53485707","16,48316696","16,9978524","17,09905074","15,93526397"
P06744-2,,,,,,,,,,,,211970738,380287567,48177227,211818346,507850142,535482977,409132302,390147546,570402892,445722117,608141587,361774252,553035546,298668319,366906395,271369128,264905068,172866988,488672107,328896662,279426282,326429438,246046676,309940798,163982320,191758052,162772176,88333650,220837177,162174263,176613387,170152839,165265444,89938296,322822298,269419875,436301184,130602952,220989167,125613154,,,,,,,,,,,,,,,,,,,,,,,,
P06748,,"4110984,75",,"1651829,5",,"3065013,5","54939,67578",,"319423,2813",,10857208,,,,,,,,,,,,3754506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,10196308",,,,,,,,,,,,,,,,,
P06753,"1714516,75","3037786,25","1381421,625",,6515804,"1535683,375","1991321,125",,"1107060,875",,"3266905,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,89035319","17,00386756","19,00028147",,"18,23666622","18,99923357",,,,"17,19895829","17,43251736",,,,,"16,92815829","17,86556703",,"16,04014112",,"17,73397816",,"16,17831154",
P06753-2,2939573147,1638453662,1431232868,1650142054,3635903635,1723931489,"614883868,3",1431611090,"997005207,5",1015734612,"379218516,5",38603026,74647435,,8445737,38199750,26755348,36567938,31293811,19718657,26973492,51767541,50175046,,,,,52538052,26847421,22639302,4172276,33980109,49798500,37329868,23793518,42933202,86190516,,,31726429,18050756,42077711,51641314,4268654,11919635,,,35656116,36574092,28304615,65828373,,,,,,,,,,,,,,,,,,,,,,,,
P06756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,77224162",,,
P06858,,,,,,,,,,,,7011342,7954962,,6531194,,12863591,9576888,,,23148438,21788990,24341684,25083060,23273802,,,,,6856414,14453839,,,,,,,,,,12432953,,24624604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06865,,,,,,,,,,,,8407401,,,20737716,,20606186,,5257531,,6491005,19593520,,67098024,,,9802687,,3309210,,,3545465,,,,18968266,,,,,,13642143,15431316,,,38948532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07093,,,,,,,,,,,,76442540,136768134,142666982,162151214,100682442,222100153,68776042,120307104,79443908,177455530,309351800,225999774,326598922,217057980,86890603,91852704,165913078,198349713,164536078,129645492,10365832,13138586,,43387267,41215092,54888880,28519128,17527395,90408334,,38575916,37618719,131258592,104855696,,18995266,18728578,5704526,94491021,55258744,"15,31764425","15,41089034","16,35112355","17,21637627","15,11607596","16,88749544","16,98483483","16,61634908",,"15,04786427","16,46116361","16,05199857","16,2109642","15,95584261","14,82344584","14,4956713","16,61379028","15,62891402","15,73265226","16,25517142",,"15,86517749",,"16,63209064"
P07093-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07093-3,46029400,"20499882,84",43901291,"14955147,5",50795428,"13287810,5","60083963,84",48600529,87222461,15601628,"65028267,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07108-5,"126030643,8","30256287,75",28091388,67853016,55948264,64258640,"38703322,13","35148035,63",28448846,66751612,"50201172,5",18005386,11619104,11412829,12272235,17615386,21319970,15661188,16497153,,14309240,35589140,31518076,9131677,4748709,12156577,9745855,7580609,12870631,3956059,7248562,,5428734,7579260,,19310702,40957628,,20274872,16305444,40754425,10001216,30862738,16075382,27955498,19078288,25638536,22251760,,16076469,27192482,,,,,,,,,,,,,,,,,,,,,,,,
P07148,8350194,4854975,7680260,"4725809,5",9450154,13613615,7528622,9261061,22961416,7603286,6386110,19124438,21348396,25528056,19903082,21388040,33446314,13969014,13480008,10058112,,26811670,21054234,17945278,21820226,13639085,14739487,17457478,16905876,16942840,11959637,20328902,17507404,19914054,15271787,11284162,10899959,17955418,12253490,17408198,23810024,17490734,16208950,4257661,6102681,2840501,,11698977,10717562,47629604,46362052,,,,,,,,,,,,,,,,,,,,,,,,
P07195,1804686494,1275356912,1197863768,"498026829,9",1971767400,741757673,1359092056,1494399065,1519420067,1830409864,1466721663,866589865,790739496,844031288,806064926,792148773,923339283,973545803,777154443,656128979,645355206,1277184323,979348381,828330708,647350262,965499034,896364389,654714704,609693689,578860296,468227275,871222420,655242039,1037257437,841346445,862370556,947279887,855000153,619482445,958478269,1223953383,917857993,881622944,678024116,566859662,852123236,615764833,1261670245,971507462,893088074,756260390,"18,29921599","18,44851571","18,89950622","18,73687706","18,11596046","18,68621499","19,07504529","19,43603036","18,74319896","19,25591827","18,51274435","18,94481768","18,48586102","18,65014177","19,18549743","18,98538879","18,45532681","18,5536876","18,72088898","18,43284202","18,38954771","19,03267535","19,20563783","18,31422343"
P07196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07203,,"18440986,5",15163871,"6740817,75",74578782,"3269264,75","5612703,5",33896364,"1517377,125",37269978,12787976,,,,,,,,,,,,,,,,,,,4186541,,,,,,,,,5982557,5461798,,,,,,,,,,,,,,"15,79282066",,,,,"14,97981795",,,,,,,"15,77218329","14,79016297",,,"16,64844279",,,,,
P07205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,76585532","17,90979281","18,74380899","18,30070432","17,70065611","18,12542531","18,13832514","17,44880861",,"17,89757938","18,27492504","18,11871194","18,21983514","17,69113228","17,85475249","18,05503966","18,62027317","18,17238477",,"18,64625601","18,44887904",,,"18,45520995"
P07225,19409337293,7866337032,9191424581,3520850641,8582359745,2966877831,11184481021,10237287723,12417023263,15281958963,9791648283,39867393593,29308960085,38083055361,33191884004,38406183791,33891973862,43537822310,41616098846,37553713996,32749019841,37486810479,31237984135,37929006061,27107375035,39702177189,29351766432,24876461505,22406099925,42648398883,29033359024,33046940339,32012974167,23052165404,21688886242,27107789520,30293307074,31066184366,21930882926,24915851948,24087200946,35787241360,30536786976,26044247044,22054882953,30273961422,23333191389,25238009454,19787862882,29676835604,24658347903,"25,02956841","25,12793058","25,10490044","24,71993097","24,71452663","24,46455339","24,67330431","24,90980758","24,43071924","24,74296685","24,97723799","25,07465302","24,66184702","24,64189527","24,73218994","24,57208825","24,3160023","24,33116819","24,85140703","24,45827676","24,30521685","24,58367196","24,54334041","24,38472121"
P07237,418861791,"391343942,1","188428132,5","177317417,9","426599480,5","149229973,5","295321999,1","344588964,8","378154386,4","315401177,1","408249602,8",150243091,224185660,169531296,283056288,113948579,348301812,145662468,167411571,83276268,184389400,223322725,250477229,212958007,213321048,210552502,180977615,186330719,154719599,153464748,127838615,546706054,597594800,449262234,395754636,409741919,466643602,122464714,233632623,340268092,281679915,289850495,329930743,275040243,182621466,403170203,255051255,514667497,273424508,355870135,186462366,,"16,84971782","16,79561631",,"16,71959544",,,,,,,,"14,20051886",,,,,,"17,02883416",,,,,
P07307,,,,,,,,,,,,,17292286,,10002829,18566961,5093733,,23723606,5001582,15829695,9552427,11302523,3568645,2131490,,,7927299,2139356,57948810,22908912,,,,2348199,,3826045,,,11812834,,8182535,,,,,6686684,,,,,"18,22318902","17,43693751","18,28439533","17,69795175","17,94531504","17,73723843","18,38413219","17,49712012","17,3356963","16,2295018","18,00769454","16,52638629","17,87313261","17,6283685","16,38948596","17,83652216","16,96303673","17,24297651","17,24975811","17,65334742","17,01839478","16,73458789","17,16633648","16,70755134"
P07307-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,31762865","16,04716414",,"15,7487434","16,02607415",,,,"15,24461833",,,,,"16,35606248",,,,"15,61237712",,"14,21979492","16,02005574","15,87937091",,
P07333,34562453,76326143,10859521,"54459361,5",61569777,"96930407,25",60397032,23363930,56393900,"19301465,5",55263236,695041983,473106390,684620659,538218745,617176076,663700736,670147657,522925911,340084834,282838144,756436592,461618965,536760253,310134556,271462367,355147803,383957248,308666089,547349506,357336425,850303406,898743908,890751048,875640068,314300067,608659548,436559554,260081330,791116822,665742204,542192046,429225667,401492614,343542302,581107892,305760328,538674466,433076432,1202917040,766146048,"19,74619444","19,8494941","18,82591904","19,15244804","19,19373428","19,34272644","18,66955291","19,46084116","19,5147023","19,02607683","18,70567654","18,44851571","18,91594949","19,23719405","18,86993323","18,87165049","18,52950813","19,94071981","18,15644745","19,1742153","18,97762118","18,78648808","19,21901367","19,17855782"
P07339,2003634747,"196481648,8","479091046,6","94618489,75","479755530,4","124470610,8",151463151,"959870994,3","249544436,5",1241926421,"298463597,1",513613243,571845257,735412004,516363778,488011361,409695911,360070278,357749420,536425271,448506186,730763233,506659356,344841436,270915661,430774979,361755731,319491961,211618368,404004622,319521275,626338320,541386241,623195382,417195747,605765451,437124522,454182691,345175397,436514215,427790084,481239775,463183991,624988672,314314471,616618875,437920208,549878425,308853699,792151696,685744991,"21,06077959","19,56238915","19,19681908","20,16329771","20,29909192","19,7946979","19,70980509","19,66604203","19,43757317","19,13134635","19,89925682","20,2363113","19,61381978","19,5778536","19,04232705","18,97465146","19,6457475","20,21506321","19,12522985","19,46778916","19,55855414","19,59722067","19,68683171","19,07707806"
P07355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,93404622",,,,,,,,,,,,,,,,,,
P07355-2,171914474,"183210881,3","31320623,5","97547603,25","43642575,75","27304392,25","28835049,41",26588346,"23906339,94",22701255,"7290205,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07357,7804795777,3619441325,3514183373,"266580004,8",4121544104,"86227721,38",7458478619,5839086040,8372474347,4562370187,5888005720,18625018769,20325100592,22807138115,24891725966,22318440146,32231812379,15747595088,14746326373,21484432640,23837100981,27315576788,22012110979,29332171603,23176718276,22570440690,23881981716,18763691737,19292640398,19054473567,16082531468,22100837113,25823194714,15903097086,17652809740,19470876690,21182198271,19310943642,13794142946,14429555659,16042485805,15945605072,14351263066,19963172344,20125865033,24141538394,17129559382,18769850216,16027013238,24104041253,20761448723,"25,84880852","25,74841733","25,93217917","25,62546835","25,87210236","25,94473327","25,79067225","25,64570339","25,61132906","25,8155788","25,5275649","25,41416567","25,84531239","25,55575311","25,47105155","25,27696814","25,5915511","25,5510956","25,69769147","25,28511991","25,61484233","25,61258885","25,63330634","25,55656254"
P07358,8729092942,2659590620,5736741490,"922269627,1",4058519999,"508990050,4",1480122256,2936130224,2758420178,6981472038,2209101492,37714308212,24759621920,29034235020,22204522161,36582637992,11691882762,41632769582,38960957374,38983625840,35223049023,41435417894,34068990479,22195780599,9894541603,30615019009,16191203527,11806797728,5883026783,39797930783,28341944357,10478017433,6889459122,7321895736,5124745952,8719941361,6534928138,32779805437,21254788935,21733652512,7974467469,13305312123,10191567219,19556409240,4931482402,29365729272,21935552466,10698555898,5474176654,7306090191,5085671379,"25,53132932","25,42222648","25,61812041","25,10031185","25,54279581","25,37989891","25,47571455","25,25565534","25,25697786","25,2776908","25,41213547","25,24204279","25,51358696","25,02698114","24,91505391","24,89824146","25,42215049","25,08749079","25,27312064","25,16599963","25,25227578","24,900647","25,02605128","25,1748094"
P07359,"918073022,6",700825089,622725009,210609370,1096820804,160524523,887541968,1417466936,1198860197,1106582954,"506052017,9",3072109498,2771894682,1477946164,1575006478,2035917919,3113639561,2698676641,2738548882,2472837194,2478339782,4322145973,3579730354,1507394441,1138077942,1312593911,1115290072,1979562421,1803777721,1459191189,1024661083,1354109576,1482419384,2541785520,2568867240,1247518304,1634503210,1193849560,972952236,1680644016,2436071020,1180985325,1328170164,1279336676,1019632756,997744176,891893592,1994971832,1456750806,1211551728,806330140,"19,42430504","18,91243784","20,15553893","19,94141034","19,28458406","19,65584998","18,6252221","19,70532217","19,86589721","20,02996143","19,37653647","19,7670372","19,52960325","18,79463921","19,64551734","19,993234","19,99840255","18,97547121","19,0422696","19,76198982","18,77782885","18,82000746","19,82286073","19,42572314"
P07360,13848318458,6053481866,7820796914,4008082336,10580453764,2123712538,7094922571,13353501332,10703778203,10559627967,7979356236,29503483464,40572086198,37897173296,54829187941,31249316620,34224123538,28275459213,22394526045,36067286384,52928051894,56010942471,63525560009,34495805837,33053091609,54783312764,42055108386,45934163365,22149898386,35653812654,18393225074,33915362676,32616498839,30322640478,25793949184,37780440185,33314996629,36693671571,24061710028,29440374271,39623036160,32606085141,62615920163,36179815476,26589764668,43092119662,51040869134,29278291092,19763560827,33151123686,28456606239,"25,65350923","25,30282318","25,73932964","25,44203147","25,7351683","25,4291225","25,30617723","25,47208585","25,08749079","25,61830048","25,35944312","25,13016753","25,78048969","25,25633026","25,18020523","25,04930458","25,25438248","25,37922163","25,44621527","25,1064173","25,49255789","25,49629778","24,92622728","25,23707746"
P07384,"400628064,9","260555312,6","205622123,8","40318983,19","497792446,9","59572076,75","294798116,3","354391149,4",316223792,"432354857,4",245086680,47772949,39411690,4854244,5014256,43337815,18993120,14475174,16910574,42071014,,26522246,30820100,9751841,,83888848,19751008,8125527,10123458,18167675,,,53678961,120765474,102102008,3900937,10310413,81686619,14935694,41598228,32285550,21753888,23917016,,12237743,124698024,10038224,,23856130,22446744,20043914,"15,46759339",,"15,62468918",,,,,"15,94250654",,,,,,,,,,,,,,,,
P07437,22958590,"13682439,5",,"177075,1563",,"637866,6719","5442293,25",,"6519673,75",,47789787,,13896136,,,,,,10638457,7820281,14387912,22465468,15965083,,,,,,,3689922,5482654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,09522555",,,,,,,,,,"17,19366936",,,,,
P07451,14372301,,,,"3713688,75",,,,,58671264,,,,,,,,4745469,,,,4414948,16005263,,,8811904,,4780173,,,,,,,16466826,,5400962,,,4486188,3165969,,2921548,,,,,,,,,"15,41221025","14,06191508","17,92052268",,"16,4705497","16,08319923",,"17,59903889","16,93583902","15,66399985","16,51201034","17,15094539","14,97242857","16,69625339",,"15,65989343",,"15,67931058",,"15,07753764",,"14,76192965",,
P07477,,,,,,,,,,,,20318364,,,,,,8296243,12821993,14101808,21298844,,,,,,,17103784,,27305178,,,,,,,,10226462,,,,,,,8318601,,,,,,,"17,45657255",,"18,06694918",,,,"16,68957417",,"18,1130358","18,01822324",,"17,62379115","18,05986459","17,1690746",,,,"17,72800321","17,57482989",,"17,24721759",,,"17,64337525"
P07478,,,,,,,,,,,,8380971,10847783,7758189,6419078,2806347,6092280,5798932,5802475,5640232,3099255,5332635,7122283,4953808,5608290,14740270,6850593,2655681,3295021,7692157,5100801,12270544,5391522,8451354,4172791,,,7235025,4933017,7028138,8260747,2760541,3735577,,4616739,7980937,5443169,8385560,7703843,6473895,7072188,,,,,,,,,,,,,,,,,,,,,,,,
P07602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,07750549","16,43395703","16,9189689","17,71735442","15,86970405","17,46175091","16,00441822","16,82916653","16,78668766","16,87801721","16,06712496",,,"16,6078527","15,60113103",,"15,97871466","16,86763587","16,6773487","17,41528623","15,59782106","15,19787503","16,7491436","15,02787261"
P07602-3,"104110958,5",,"41754348,69",,"193798056,3","1795658,469","15872718,5","80851710,5",19016475,108493588,,86148726,73169089,123471585,76739427,124971798,82957861,138448112,113490138,203981911,203298954,152357979,120637456,82380031,57745867,75893071,75566988,102273805,37883555,99472856,147681057,28617318,33839400,35005269,22052939,52245823,64644134,54897569,44439980,74401899,51544355,36709794,32402111,35993058,8181644,32863398,27628582,54314792,23738890,46302154,40368325,,,,,,,,,,,,,,,,,,,,,,,,
P07686,"15781254,25",,"5074315,781",,"2245474,5",,"1996372,5","3031993,25","3877490,5","13049837,75","1331539,5",44137159,41746152,14918899,15858135,21536483,40122566,44674578,64008484,39385012,57472102,80713716,95367878,39345450,32214035,40240252,28629098,41018506,28717141,19418485,39155242,28790579,14877525,5768401,5052559,15618681,40318043,13425279,26921821,14809902,30441301,9026198,18720742,14663120,9609970,32889530,18595258,14884112,24224004,40154367,30812520,,,,,,,,,,,,,,,,,,,,,,,,
P07711,,,,,,,,,,,,131568400,101317497,106425800,83953832,27808516,36744292,173581410,76168636,168496456,37993170,91486404,28052932,74640544,88220946,52039348,91873074,,22326890,41975840,23883474,,,21531140,63122794,,6535802,143919773,,,11953251,57055090,49875141,70022184,14489153,29294250,100621519,20148048,16204235,6708212,18327962,"16,19506661","12,87344871","15,18986206","15,40368164","14,72552262","14,8488833","15,58851674","15,13566991","15,42547347","15,07204844","15,18833974","14,83877399","15,34250414","15,18991948","15,11355918","15,704747","16,19170373","16,63696649","15,2141807","15,55494013","15,1475627","14,8613077","16,16611289","14,68866978"
P07737,24747131327,15219409213,11668775946,5625615356,24498772380,7698895844,8277515894,17269043923,9915816528,17624135548,9559824878,1330974653,2720497668,233444955,551255093,858278916,1153003815,1447509203,2420277808,1117984403,2250732047,4083219968,3348513088,643089937,358102727,210086754,242875296,1683567474,407411149,470300825,298411486,160188268,76832387,183933738,88995883,12514818,31514402,80708997,96953864,685898314,762061860,379387812,1216471626,224407677,169913278,152697352,112491306,31499982,80627660,68088742,49210825,"19,72042232","17,66514476","19,54188367","18,11918255","19,32432233","20,05594688","19,06319832","19,42388158","18,64863184","19,70349801","19,33164054","18,87977178","17,52624448","18,55301683","18,78687069","18,77590424","19,39398656","18,14291829","19,61822832","18,72293735","19,61535244","19,34963388","18,90412791","18,05290262"
P07738,"205754886,4","35090306,13","61980134,25","81533039,69","171207143,5","27290270,63",92929855,126156052,"130713786,8","145257142,9",204482389,121719989,122361898,55298896,88863623,109080984,148945328,84719648,92671268,84466916,96682400,141272108,124213075,66480068,53574904,103600106,87251543,186162752,203758538,56791022,55692716,147624893,125424638,271062840,219982817,152293249,186810317,192780536,174684328,237644079,311648272,226030422,251912815,221343070,225935295,236723227,169852755,304083560,227168683,325617777,313542875,"21,11789501","20,44347478","22,52461805","20,46754756","20,01615832","20,69311766","19,88094199","21,89406022","19,65796243","19,9835749","21,11279887","20,44835241","20,00348183","20,20426099","20,50232062","20,67461753","20,21014096","19,8340401","20,54074171","19,88859514","20,3017345","20,04912813","20,12595882","19,76053631"
P07741,41026960,,,,46250516,,,20024060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07858,"105736098,3",16733835,"10645895,75",,44678851,"3249137,25","7960134,75","21023411,25","8607316,25","33544767,75",,375574010,335415124,255859069,308429400,228788774,158182377,388263620,412496732,391583414,437938356,247889113,253272939,121336500,67144707,221226918,162743204,65807244,63225483,238275235,170953626,100772695,64092590,68530051,55543689,39292295,25602431,227446048,176506167,121249561,78075480,163605759,173917608,74727883,20548540,211895860,165474714,59705749,69388429,48101327,44452666,"17,01271188",,,"17,30825797","16,61244632","16,12060009",,,"16,82887932","16,83075726","17,56495936",,"17,43403551","16,76883903","17,04338251","16,89904937","16,76619195","16,65724023",,"15,92063987","16,86413435","16,31966281",,"16,03081701"
P07900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,41127012",,,,,,,,,,,,"16,16410223",,,,,"16,66147394",,"17,76922029",,
P07900-2,"340919692,5","432453736,5",170464644,"92120973,13",437098294,"152330657,5","185186736,1","329788024,6",230927594,"262437337,8",171023754,6416405,6206580,5535130,,6909200,,28810863,24173598,,5185052,9515353,,1902594,,,,2538014,474309,14152944,4767833,17633458,748254,583130,,1661237,860565,,4123930,5018690,8525647,9799151,6241934,,1797583,,2944722,8835021,3265349,13436440,11258793,,,,,,,,,,,,,,,,,,,,,,,,
P07902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07910,80424093,"2697868,25","13798905,88",5164490,"34242442,5","5788073,5",,"8942745,375","5390153,5","11362550,75",,,2990990,,5104463,4730042,,,,,,,12277339,,,3132726,,,,,3505163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,37220255","17,68223547","17,47522531","17,15959255","17,546025","17,88537033","17,22716179","17,01356957","18,14291829","17,06882839","17,91373862","17,03353421","17,56375583","16,7789573","17,46441051","17,82878248","17,52914013","16,00761891","16,88834085","16,58235373","16,38689828","16,89747954","16,28732191","16,99649528"
P07911-5,"314251376,3","102877280,5","85287428,5","98734521,55",151425755,"100111434,5","56619443,75",174302664,58445077,"191257611,5","133024078,8",569876439,606438786,840492114,952683287,484524885,264819122,462820518,602828475,355280646,487108686,655642256,522112462,412510308,265916212,312471240,270934233,254322237,69963209,453814839,301700567,355573334,155614399,243988574,115087518,168411882,159667713,238907418,283718591,279096241,220229865,253315322,235527715,443467862,105076191,362443827,300003779,240370156,146710443,81292951,46183604,,,,,,,,,,,,,,,,,,,,,,,,
P07942,"57746759,13","15788334,88","16457093,25","1542460,313","12302347,13","3521689,688","24360817,75",27345724,"32603165,94",51208497,6568553,319742678,244621485,288273962,260449189,219876533,161440758,214630794,183361893,295620964,260478223,324685628,214761702,163376119,130641627,213298368,173306257,217678970,166645081,225726197,132473042,215597901,160835196,217655974,111725098,253316707,126047213,267288382,175137633,173156994,147968508,156894151,110918419,184037142,102105407,188809281,137412679,276479343,163732610,144930442,104523719,"18,74313192","18,75313023","19,10370814","18,38286438","19,2629161","19,35304278","18,59473823","18,04283307","19,22479759","18,78720868","18,96224388","19,19059931","19,2672994","17,85919718","19,15941092","19,11707376","19,00030841","19,36938724","19,01533166","19,03764296","18,92664088","19,36312883","18,93377079","18,38072999"
P07947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07948,9115625,,,,17853224,,102984536,"2012507,75",92629616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
